id    ,title                                                                                                                 ,title_en                                                                                 ,title_jp                                                                       ,source       ,members ,score  ,format ,episodes ,starting_at               ,airing_day ,studio                               ,official_site                                             ,twitter_username
53516 ,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu"                                             ,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability ,"転生したら第七王子だったので, 気ままに魔術を極めます"                         ,Light novel  ,  21856 , 21856 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Tsumugi Akita Animation Lab          ,https://dainanaoji.com/                                   ,dainanaoji_pro
53865 ,Yozakura-san Chi no Daisakusen                                                                                        ,Mission: Yozakura Family                                                                 ,夜桜さんちの大作戦                                                             ,Manga        ,  20637 , 20637 ,TV     ,         ,2024-04-07T00:00:00+00:00 ,Sundays    ,SILVER LINK.                         ,https://mission-yozakura-family.com/                      ,OfficialHitsuji
53407 ,Bartender: Kami no Glass                                                                                              ,Bartender: Glass of God                                                                  ,バーテンダー 神のグラス                                                        ,Manga        ,  19645 , 19645 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Liber                                ,https://bartender-anime.com/                              ,bartender_anime
50869 ,Kami wa Game ni Ueteiru.                                                                                              ,Gods' Game We Play                                                                       ,神は遊戯に飢えている。                                                         ,Light novel  ,  17766 , 17766 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,LIDENFILMS                           ,https://godsgame-anime.com/                               ,kami_to_game
56738 ,Shinigami Bocchan to Kuro Maid 3rd Season                                                                             ,The Duke of Death and His Maid Season 3                                                  ,死神坊ちゃんと黒メイド 3期が                                                   ,Web manga    ,  17353 , 17353 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,J.C.Staff                            ,https://bocchan-anime.com/                                ,bocchan_anime
53434 ,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?"                                                   ,An Archdemon's Dilemma: How to Love Your Elf Bride                                       ,魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？                       ,Light novel  ,  16371 , 16371 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Brain's Base                         ,https://madome-anime.com/                                 ,madome_PR
56923 ,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life                                                          ,Chillin' in Another World with Level 2 Super Cheat Powers                                ,Lv2からチートだった元勇者候補のまったり異世界ライフ                            ,Light novel  ,  15690 , 15690 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,J.C.Staff                            ,https://lv2-cheat.com/                                    ,Lv2cheat_anime
56230 ,Jiisan Baasan Wakagaeru                                                                                               ,                                                                                         ,じいさんばあさん若返る                                                         ,Web manga    ,  14694 , 14694 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Gekkou                               ,https://jisanbasan.com/                                   ,jisanbasan_prj
55265 ,"Tensei Kizoku, Kantei Skill de Nariagaru"                                                                            ,"As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World"         ,転生貴族、鑑定スキルで成り上がる                                               ,Light novel  ,  14427 , 14427 ,TV     ,         ,2024-04-07T00:00:00+00:00 ,Sundays    ,studio MOTHER                        ,https://kanteiskill.com/                                  ,kanteiskill
54309 ,Blue Archive the Animation                                                                                            ,                                                                                         ,ブルーアーカイブ The Animation                                                 ,Game         ,  12398 , 12398 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Yostar Pictures/ Studio CANDY BOX    ,https://anime.shochiku.co.jp/bluearchive-anime/           ,BlueArchive_TV
