id,title,title_en,title_jp,source,members,score,format,episodes,season,year,starting_at,airing_day,studio,official_site,twitter_username
53434,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",An Archdemon's Dilemma: How to Love Your Elf Bride,魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？,Light novel,55651,7.51,TV,12.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,Brain's Base,https://madome-anime.com/,madome_PR
44042,Holo no Graffiti,Holo Graffiti,ホロのぐらふぃてぃ,Other,54952,8.18,ONA,,,,2019-05-05T00:00:00+00:00,,Hololive Production,https://www.hololive.tv,
56230,Jiisan Baasan Wakagaeru,Grandpa and Grandma Turn Young Again,じいさんばあさん若返る,Web manga,54815,7.23,TV,11.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,Gekkou,https://jisanbasan.com/,jisanbasan_prj
53407,Bartender: Kami no Glass,Bartender: Glass of God,バーテンダー 神のグラス,Manga,52872,7.59,TV,,spring,2024.0,2024-04-04T00:00:00+00:00,Thursdays,Liber,https://bartender-anime.com/,bartender_anime
53835,Unnamed Memory,Unnamed Memory,Unnamed Memory,Light novel,52612,7.4,TV,12.0,spring,2024.0,2024-04-09T00:00:00+00:00,Tuesdays,ENGI,https://unnamedmemory.com/,Project_UM
55357,Bocchi the Rock! Movie,,ぼっち・ざ・ろっく！劇場総集編,4-koma manga,52277,,Movie,2.0,,,2024-06-07T00:00:00+00:00,,CloverWorks,https://bocchi.rocks/,BTR_anime
56690,Re:Monster,,Re:Monster,Light novel,48984,7.36,TV,,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,Studio Deen,https://re-monster.com/,ReMonster_anime
54233,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,ささやくように恋を唄う,Manga,48823,,TV,12.0,spring,2024.0,2024-04-14T00:00:00+00:00,Sundays,Yokohama Animation Lab/ Cloud Hearts,https://sasakoi-anime.com/,sasakoi_anime
56923,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,Chillin' in Another World with Level 2 Super Cheat Powers,Lv2からチートだった元勇者候補のまったり異世界ライフ,Light novel,45897,7.05,TV,,spring,2024.0,2024-04-08T00:00:00+00:00,Mondays,J.C.Staff,https://lv2-cheat.com/,Lv2cheat_anime
39894,Hibike! Euphonium 3,Sound! Euphonium 3,響け！ユーフォニアム3,Novel,45699,8.54,TV,13.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,Kyoto Animation,http://www.anime-eupho.com/,anime_eupho
50869,Kami wa Game ni Ueteiru.,Gods' Game We Play,神は遊戯に飢えている。,Light novel,45666,6.27,TV,13.0,spring,2024.0,2024-04-01T00:00:00+00:00,Mondays,LIDENFILMS,https://godsgame-anime.com/,kami_to_game
53865,Yozakura-san Chi no Daisakusen,Mission: Yozakura Family,夜桜さんちの大作戦,Manga,44778,7.4,TV,27.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,SILVER LINK.,https://mission-yozakura-family.com/,OfficialHitsuji
55855,Kuroshitsuji: Kishuku Gakkou-hen,Black Butler: Public School Arc,黒執事 -寄宿学校編-,Manga,43047,,TV,,spring,2024.0,2024-04-13T00:00:00+00:00,Saturdays,CloverWorks,https://www.kuroshitsuji.tv/,kuroshitsuji_pr
55265,"Tensei Kizoku, Kantei Skill de Nariagaru","As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World",転生貴族、鑑定スキルで成り上がる,Light novel,41536,7.2,TV,12.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,studio MOTHER,https://kanteiskill.com/,kanteiskill
9874,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,,東方二次創作同人アニメ 夢想夏郷,Game,40291,7.37,OVA,,,,2008-12-29T00:00:00+00:00,,,http://maikaze.com/musoukakyo/,
54829,Urusei Yatsura (2022) 2nd Season,,うる星やつら第2期,Manga,38059,7.75,TV,23.0,winter,2024.0,2024-01-12T00:00:00+00:00,Fridays,David Production,https://uy-allstars.com/,uy_allstars
36064,Fate/Grand Order,Fate/Grand Order,Fate/Grand Order,Game,36498,7.59,CM,,,,2014-12-27T00:00:00+00:00,,ufotable/ Shaft/ A-1 Pictures/ SILVER LINK./ Lerche/ Wit Studio/ Lay-duce/ CloverWorks/ Drive/ Ijigen Tokyo,http://www.fate-go.jp/gallery/,
54839,Yoru no Kurage wa Oyogenai,Jellyfish Can't Swim in the Night,夜のクラゲは泳げない,Original,36235,8.0,TV,12.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,Doga Kobo,https://yorukura-anime.com/,yorukura_anime
55717,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,The Banished Former Hero Lives as He Pleases,出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした,Light novel,36159,5.34,TV,,spring,2024.0,2024-04-02T00:00:00+00:00,Tuesdays,Studio Deen/ Marvy Jack,https://dekisoko-anime.com/,dekisoko_pr
54866,Blue Lock: Episode Nagi,Blue Lock: Episode Nagi,ブルーロック-EPISODE 凪-,Manga,33634,,Movie,1.0,,,2024-04-19T00:00:00+00:00,,8bit,https://bluelock-pr.com/,BLUELOCK_PR
54309,Blue Archive the Animation,,ブルーアーカイブ The Animation,Game,33499,8.04,TV,,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,Yostar Pictures/ Studio CANDY BOX,https://anime.shochiku.co.jp/bluearchive-anime/,BlueArchive_TV
56838,"One Room, Hiatari Futsuu, Tenshi-tsuki.","Studio Apartment, Good Lighting, Angel Included",ワンルーム、日当たり普通、天使つき。,Manga,31702,7.09,TV,12.0,spring,2024.0,2024-04-06T00:00:00+00:00,Saturdays,Okuruto Noboru,https://tenshitsuki.com/,tenshitsuki_off
56738,Shinigami Bocchan to Kuro Maid 3rd Season,The Duke of Death and His Maid Season 3,死神坊ちゃんと黒メイド 第3期,Web manga,28406,7.64,TV,,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,J.C.Staff,https://bocchan-anime.com/,bocchan_anime
53876,Pokemon (2023),Pokémon Horizons: The Series,ポケットモンスター(2023),Game,28245,7.41,TV,,spring,2023.0,2023-04-14T00:00:00+00:00,Fridays,OLM,https://www.tv-tokyo.co.jp/anime/pocketmonster2023/,anipoke_PR
54199,Kaii to Otome to Kamikakushi,,怪異と乙女と神隠し,Web manga,26734,6.84,TV,12.0,spring,2024.0,2024-04-10T00:00:00+00:00,Wednesdays,Zero-G,https://totokami.com/,totokamiPR
53356,Shuumatsu Train Doko e Iku?,Train to the End of the World,終末トレインどこへいく？,Original,26009,7.29,TV,12.0,spring,2024.0,2024-04-01T00:00:00+00:00,Mondays,EMT Squared,https://shumatsu-train.com/,shumatsu_train
55911,The Fable,The Fable,ザ・ファブル,Manga,25332,6.81,TV,25.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,Tezuka Productions,https://www.vap.co.jp/the-fable-anime/,the_fable_anime
57100,The New Gate,The New Gate,THE NEW GATE,Light novel,25331,,TV,,spring,2024.0,2024-04-14T00:00:00+00:00,Sundays,Yokohama Animation Lab/ Cloud Hearts,https://the-new-gate-pr.com/,thenewgateanime
53912,Seiyuu Radio no Uraomote,The Many Sides of Voice Actor Radio,声優ラジオのウラオモテ,Light novel,22586,6.78,TV,12.0,spring,2024.0,2024-04-10T00:00:00+00:00,Wednesdays,Connect,https://seiyuradio-anime.com/,sayyouradio_prj
55877,Henjin no Salad Bowl,A Salad Bowl of Eccentrics,変人のサラダボウル,Light novel,21227,7.11,TV,12.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,SynergySP/ Studio Comet,https://www.tbs.co.jp/anime/hensara/,hensara_anime
51358,Dead Dead Demons Dededede Destruction,Dead Dead Demons Dededede Destruction,デッドデッドデーモンズデデデデデストラクション,Manga,21146,,Movie,2.0,,,2024-03-22T00:00:00+00:00,,Production +h.,https://dededede.jp,DEDEDEDEanime
55102,Girls Band Cry,,ガールズバンドクライ,Original,20385,7.63,TV,,spring,2024.0,2024-04-06T00:00:00+00:00,Saturdays,Toei Animation,https://girls-band-cry.com/,girlsbandcry
57031,Vampire Dormitory,,ヴァンパイア男子寮,Manga,20361,6.4,TV,12.0,spring,2024.0,2024-04-07T00:00:00+00:00,Sundays,Studio Blanc.,https://www.vampire-dormitory.com/,vampiredorm_PR
8687,Doraemon (2005),,ドラえもん (2005),Manga,19716,7.68,TV,,spring,2005.0,2005-04-22T00:00:00+00:00,Fridays,Shin-Ei Animation,http://www.tv-asahi.co.jp/doraemon/,
56835,Code Geass: Dakkan no Rozé,,コードギアス 奪還のロゼ,Original,18375,,Movie,4.0,,,2024-05-10T00:00:00+00:00,,Sunrise,https://geass.jp/roze/,GEASSPROJECT
56768,"Tadaima, Okaeri",,ただいま、おかえり,Manga,16817,7.15,TV,12.0,spring,2024.0,2024-04-09T00:00:00+00:00,Tuesdays,Studio Deen,https://tadaoka-anime.com/,TadaOka_anime
57391,Astro Note,,アストロノオト,Original,16461,6.6,TV,12.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,Telecom Animation Film,https://sh-anime.shochiku.co.jp/astro-note/,AstroNote_anime
